A,B,C,D,E,F,( not ( ( not ( ( ( not ( 0 and 0 ) ) and ( ( 0 and 0 ) or ( ( D or E ) ) ) ) and ( not ( 0 and D ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( 0 and D ) ) ) ) and ( not ( ( not ( 0 and D ) ) and E ) ) ) ) and ( ( ( 0 and ( A ^ 0 ) ) or ( 0 and A ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and 1 ) ) and ( ( 0 and 1 ) or ( ( D or E ) ) ) ) and ( not ( 1 and D ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( 1 and D ) ) ) ) and ( not ( ( not ( 1 and D ) ) and E ) ) ) ) and ( ( ( 1 and ( A ^ 0 ) ) or ( 0 and A ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( 0 or E ) ) ) ) and ( not ( C and 0 ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( C and 0 ) ) ) ) and ( not ( ( not ( C and 0 ) ) and E ) ) ) ) and ( ( ( C and ( A ^ 0 ) ) or ( 0 and A ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( 1 or E ) ) ) ) and ( not ( C and 1 ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( C and 1 ) ) ) ) and ( not ( ( not ( C and 1 ) ) and E ) ) ) ) and ( ( ( C and ( A ^ 0 ) ) or ( 0 and A ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( D or 0 ) ) ) ) and ( not ( C and D ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and 0 ) ) ) ) and ( ( ( C and ( A ^ 0 ) ) or ( 0 and A ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( D or 1 ) ) ) ) and ( not ( C and D ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and 1 ) ) ) ) and ( ( ( C and ( A ^ 0 ) ) or ( 0 and A ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( D or E ) ) ) ) and ( not ( C and D ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ) and ( ( ( C and ( 0 ^ 0 ) ) or ( 0 and 0 ) ) ) ) ) ) ),( not ( ( not ( ( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( D or E ) ) ) ) and ( not ( C and D ) ) ) ) and ( not ( ( not ( ( not ( 0 and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ) and ( ( ( C and ( 1 ^ 0 ) ) or ( 0 and 1 ) ) ) ) ) ) )
1,1,0,1,0,1,1,0,0,1,1,1,1,1
1,1,0,1,1,0,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,1,0,1,1,1,0,0,1,1,1
1,1,1,0,1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,0,0,0,0
